,X,State,Year,population
168,168,Norte de Santander,2014,1344038
169,169,Santander,2014,2051022
170,170,Valle del cauca,2014,4566875
171,171,Antioquia,2015,6456299
172,172,Bolivar,2015,2097161
173,173,Boyaca,2015,1276407
174,174,Caldas,2015,987991
175,175,Casanare,2015,356479
176,176,Cundinamarca,2015,2680041
177,177,Meta,2015,961334
178,178,Norte de Santander,2015,1355787
179,179,Santander,2015,2061079
180,180,Valle del cauca,2015,4613684
181,181,Antioquia,2016,6534857
182,182,Bolivar,2016,2121956
183,183,Boyaca,2016,1278107
184,184,Caldas,2016,989934
185,185,Casanare,2016,362721
186,186,Cundinamarca,2016,2721368
187,187,Meta,2016,979710
188,188,Norte de Santander,2016,1367708
189,189,Santander,2016,2071016
190,190,Valle del cauca,2016,4660741
191,191,Antioquia,2017,6613118
192,192,Bolivar,2017,2146696
193,193,Boyaca,2017,1279955
194,194,Caldas,2017,991860
195,195,Casanare,2017,368989
196,196,Cundinamarca,2017,2762784
197,197,Meta,2017,998162
198,198,Norte de Santander,2017,1379533
199,199,Santander,2017,2080938
200,200,Valle del cauca,2017,4708262
